JuncType	Event_ID	Event_Group	chr	strand	GeneID	geneSymbol	Gene_Event_ID	Gene_Event_Type	DSE_Category	Control_vs_shRING1A.B	Control_vs_shRYBP	shRYBP_vs_shRING1A.B
JC	Event_121	Alternative 5' Splice Site	chr7	-	ENSG00000003147	ICA1	1	Alternative 5' Splice Site_1	Unique to shRYBP vs Control		0.209	
JCEC	Event_121	Alternative 5' Splice Site	chr7	-	ENSG00000003147	ICA1	1	Alternative 5' Splice Site_1	Unique to shRYBP vs Control		0.209	
JC	Event_3028	Skipped Exon	chr17	-	ENSG00000004660	CAMKK1	1	Skipped Exon_1	Unique to shRING1A.B vs Control	0.436		
JCEC	Event_1689	Retained Intron	chr17	-	ENSG00000004660	CAMKK1	1	Retained Intron_1				0.151
JCEC	Event_3028	Skipped Exon	chr17	-	ENSG00000004660	CAMKK1	1	Skipped Exon_1	Unique to shRING1A.B vs Control	0.436		
JC	Event_163	Alternative 5' Splice Site	chr12	-	ENSG00000004700	RECQL	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP	-0.269	-0.296	
JCEC	Event_441	Alternative 5' Splice Site	chr12	-	ENSG00000004700	RECQL	2	Alternative 5' Splice Site_2	Common to shRING1A.B and shRYBP	-0.267	-0.294	
JC	Event_3351	Skipped Exon	chr12	-	ENSG00000005175	RPAP3	1	Skipped Exon_1	Same Direction	-0.112		-0.106
JCEC	Event_3351	Skipped Exon	chr12	-	ENSG00000005175	RPAP3	1	Skipped Exon_1	Same Direction	-0.112		-0.106
JC	Event_4059	Skipped Exon	chr16	+	ENSG00000005187	ACSM3	1	Skipped Exon_1				0.132
JCEC	Event_4059	Skipped Exon	chr16	+	ENSG00000005187	ACSM3	1	Skipped Exon_1				0.132
JC	Event_2873	Skipped Exon	chr16	+	ENSG00000005189	REXO5	1	Skipped Exon_1			0.148	-0.167
JC	Event_296	Alternative 5' Splice Site	chr16	+	ENSG00000005189	REXO5	1	Alternative 5' Splice Site_1	Unique to shRING1A.B vs Control	-0.334		
JCEC	Event_2873	Skipped Exon	chr16	+	ENSG00000005189	REXO5	1	Skipped Exon_1			0.148	-0.167
JCEC	Event_296	Alternative 5' Splice Site	chr16	+	ENSG00000005189	REXO5	1	Alternative 5' Splice Site_1	Unique to shRING1A.B vs Control	-0.334		
JC	Event_50	Alternative 5' Splice Site	chr19	+	ENSG00000005206	SPPL2B	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP	0.187	0.181	
JCEC	Event_50	Alternative 5' Splice Site	chr19	+	ENSG00000005206	SPPL2B	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP	0.187	0.181	
JC	Event_1840	Skipped Exon	chr17	-	ENSG00000005243	COPZ2	1	Skipped Exon_1	Unique to shRYBP vs Control		0.458	
JC	Event_1841	Skipped Exon	chr17	-	ENSG00000005243	COPZ2	2	Skipped Exon_2	Common to shRING1A.B and shRYBP	0.149	0.127	
JC	Event_3016	Skipped Exon	chr17	-	ENSG00000005243	COPZ2	3	Skipped Exon_3	Unique to shRING1A.B vs Control	-0.168		
JC	Event_967	Mutually Exclusive Exon	chr17	-	ENSG00000005243	COPZ2	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control	-0.112		
JCEC	Event_1840	Skipped Exon	chr17	-	ENSG00000005243	COPZ2	1	Skipped Exon_1	Unique to shRYBP vs Control		0.458	
JCEC	Event_1841	Skipped Exon	chr17	-	ENSG00000005243	COPZ2	2	Skipped Exon_2	Common to shRING1A.B and shRYBP	0.149	0.127	
JCEC	Event_3016	Skipped Exon	chr17	-	ENSG00000005243	COPZ2	3	Skipped Exon_3	Unique to shRING1A.B vs Control	-0.168		
JCEC	Event_967	Mutually Exclusive Exon	chr17	-	ENSG00000005243	COPZ2	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control	-0.112		
JC	Event_1322	Retained Intron	chrX	+	ENSG00000005302	MSL3	1	Retained Intron_1			0.322	-0.276
JCEC	Event_1322	Retained Intron	chrX	+	ENSG00000005302	MSL3	1	Retained Intron_1			0.322	-0.276
JC	Event_2364	Skipped Exon	chr2	+	ENSG00000005448	WDR54	1	Skipped Exon_1	Unique to shRYBP vs Control		0.258	
JC	Event_2365	Skipped Exon	chr2	+	ENSG00000005448	WDR54	2	Skipped Exon_2	Unique to shRYBP vs Control		0.133	
JCEC	Event_4739	Skipped Exon	chr2	+	ENSG00000005448	WDR54	3	Skipped Exon_3	Unique to shRYBP vs Control		0.183	
JCEC	Event_4740	Skipped Exon	chr2	+	ENSG00000005448	WDR54	4	Skipped Exon_4	Unique to shRYBP vs Control		0.117	
JC	Event_3571	Skipped Exon	chr7	-	ENSG00000005471	ABCB4	1	Skipped Exon_1	Unique to shRING1A.B vs Control	-0.474		
JCEC	Event_3571	Skipped Exon	chr7	-	ENSG00000005471	ABCB4	1	Skipped Exon_1	Unique to shRING1A.B vs Control	-0.474		
JC	Event_143	Alternative 5' Splice Site	chr11	-	ENSG00000005801	ZNF195	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP	0.355	0.378	
JC	Event_2763	Skipped Exon	chr11	-	ENSG00000005801	ZNF195	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.36	
JCEC	Event_143	Alternative 5' Splice Site	chr11	-	ENSG00000005801	ZNF195	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP	0.355	0.378	
JCEC	Event_2763	Skipped Exon	chr11	-	ENSG00000005801	ZNF195	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.36	
JC	Event_2924	Skipped Exon	chr13	-	ENSG00000005810	MYCBP2	1	Skipped Exon_1			0.21	-0.287
JC	Event_3817	Skipped Exon	chr13	-	ENSG00000005810	MYCBP2	2	Skipped Exon_2	Same Direction	-0.253		-0.253
JCEC	Event_2924	Skipped Exon	chr13	-	ENSG00000005810	MYCBP2	1	Skipped Exon_1			0.21	-0.287
JCEC	Event_3817	Skipped Exon	chr13	-	ENSG00000005810	MYCBP2	2	Skipped Exon_2	Same Direction	-0.253		-0.253
JC	Event_1226	Retained Intron	chr19	+	ENSG00000006015	REX1BD	1	Retained Intron_1	Unique to shRYBP vs Control		-0.118	
JC	Event_1358	Retained Intron	chr19	+	ENSG00000006015	REX1BD	2	Retained Intron_2	Same Direction	0.323		0.373
JCEC	Event_1514	Retained Intron	chr19	+	ENSG00000006015	REX1BD	3	Retained Intron_3	Unique to shRYBP vs Control		-0.127	
JCEC	Event_1618	Retained Intron	chr19	+	ENSG00000006015	REX1BD	4	Retained Intron_4	Same Direction	0.321		0.381
JC	Event_1842	Skipped Exon	chr17	-	ENSG00000006025	OSBPL7	1	Skipped Exon_1	Unique to shRYBP vs Control		0.161	
JCEC	Event_1842	Skipped Exon	chr17	-	ENSG00000006025	OSBPL7	1	Skipped Exon_1	Unique to shRYBP vs Control		0.161	
JC	Event_148	Alternative 5' Splice Site	chr11	+	ENSG00000006118	TMEM132A	1	Alternative 5' Splice Site_1	Unique to shRYBP vs Control		-0.178	
JCEC	Event_148	Alternative 5' Splice Site	chr11	+	ENSG00000006118	TMEM132A	1	Alternative 5' Splice Site_1	Unique to shRYBP vs Control		-0.178	
JC	Event_1835	Skipped Exon	chr17	+	ENSG00000006282	SPATA20	1	Skipped Exon_1			0.133	-0.133
JC	Event_1836	Skipped Exon	chr17	+	ENSG00000006282	SPATA20	2	Skipped Exon_2			0.501	-0.501
JC	Event_1837	Skipped Exon	chr17	+	ENSG00000006282	SPATA20	3	Skipped Exon_3	Unique to shRYBP vs Control		0.187	
JC	Event_1838	Skipped Exon	chr17	+	ENSG00000006282	SPATA20	4	Skipped Exon_4	Unique to shRYBP vs Control		-0.155	
JCEC	Event_1835	Skipped Exon	chr17	+	ENSG00000006282	SPATA20	1	Skipped Exon_1			0.133	-0.133
JCEC	Event_1836	Skipped Exon	chr17	+	ENSG00000006282	SPATA20	2	Skipped Exon_2			0.501	-0.501
JCEC	Event_1837	Skipped Exon	chr17	+	ENSG00000006282	SPATA20	3	Skipped Exon_3	Unique to shRYBP vs Control		0.187	
JCEC	Event_1838	Skipped Exon	chr17	+	ENSG00000006282	SPATA20	4	Skipped Exon_4	Unique to shRYBP vs Control		-0.155	
JC	Event_659	Alternative 3' Splice Site	chr14	-	ENSG00000006432	MAP3K9	1	Alternative 3' Splice Site_1	Unique to shRING1A.B vs Control	0.167		
JCEC	Event_659	Alternative 3' Splice Site	chr14	-	ENSG00000006432	MAP3K9	1	Alternative 3' Splice Site_1	Unique to shRING1A.B vs Control	0.167		
JC	Event_586	Alternative 3' Splice Site	chr11	+	ENSG00000006534	ALDH3B1	1	Alternative 3' Splice Site_1			0.121	-0.12
JCEC	Event_776	Alternative 3' Splice Site	chr11	+	ENSG00000006534	ALDH3B1	2	Alternative 3' Splice Site_2			0.323	-0.286
JC	Event_2575	Skipped Exon	chr7	+	ENSG00000006576	PHTF2	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.149	
JCEC	Event_2575	Skipped Exon	chr7	+	ENSG00000006576	PHTF2	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.149	
JC	Event_665	Alternative 3' Splice Site	chr7	+	ENSG00000006634	DBF4	1	Alternative 3' Splice Site_1	Unique to shRING1A.B vs Control	-0.142		
JCEC	Event_665	Alternative 3' Splice Site	chr7	+	ENSG00000006634	DBF4	1	Alternative 3' Splice Site_1	Unique to shRING1A.B vs Control	-0.142		
JC	Event_960	Mutually Exclusive Exon	chr19	-	ENSG00000006712	PAF1	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control	-0.12		
JCEC	Event_960	Mutually Exclusive Exon	chr19	-	ENSG00000006712	PAF1	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control	-0.12		
JC	Event_2226	Skipped Exon	chr12	+	ENSG00000006831	ADIPOR2	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.207	
JCEC	Event_2226	Skipped Exon	chr12	+	ENSG00000006831	ADIPOR2	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.207	
JC	Event_1051	Mutually Exclusive Exon	chr5	-	ENSG00000006837	CDKL3	1	Mutually Exclusive Exon_1				0.379
JC	Event_2338	Skipped Exon	chr5	-	ENSG00000006837	CDKL3	1	Skipped Exon_1			0.448	-0.447
JC	Event_2339	Skipped Exon	chr5	-	ENSG00000006837	CDKL3	2	Skipped Exon_2	Unique to shRYBP vs Control		-0.288	
JC	Event_3374	Skipped Exon	chr5	-	ENSG00000006837	CDKL3	3	Skipped Exon_3	Unique to shRING1A.B vs Control	-0.279		
JC	Event_3375	Skipped Exon	chr5	-	ENSG00000006837	CDKL3	4	Skipped Exon_4	Same Direction	0.381		0.415
JCEC	Event_1195	Mutually Exclusive Exon	chr5	-	ENSG00000006837	CDKL3	2	Mutually Exclusive Exon_2				0.382
JCEC	Event_4725	Skipped Exon	chr5	-	ENSG00000006837	CDKL3	5	Skipped Exon_5			0.427	-0.425
JCEC	Event_4726	Skipped Exon	chr5	-	ENSG00000006837	CDKL3	6	Skipped Exon_6	Unique to shRYBP vs Control		0.428	
JCEC	Event_4727	Skipped Exon	chr5	-	ENSG00000006837	CDKL3	7	Skipped Exon_7	Unique to shRYBP vs Control		-0.29	
JCEC	Event_5054	Skipped Exon	chr5	-	ENSG00000006837	CDKL3	8	Skipped Exon_8	Unique to shRING1A.B vs Control	-0.261		
JCEC	Event_5055	Skipped Exon	chr5	-	ENSG00000006837	CDKL3	9	Skipped Exon_9	Same Direction	0.374		0.385
JCEC	Event_798	Alternative 3' Splice Site	chr17	-	ENSG00000007202	KIAA0100	1	Alternative 3' Splice Site_1	Unique to shRING1A.B vs Control	0.126		
JC	Event_2297	Skipped Exon	chr1	-	ENSG00000007341	ST7L	1	Skipped Exon_1			-0.16	0.143
JCEC	Event_4713	Skipped Exon	chr1	-	ENSG00000007341	ST7L	2	Skipped Exon_2			-0.165	0.144
JC	Event_1911	Skipped Exon	chr16	-	ENSG00000007376	RPUSD1	1	Skipped Exon_1			0.112	-0.135
JCEC	Event_1911	Skipped Exon	chr16	-	ENSG00000007376	RPUSD1	1	Skipped Exon_1			0.112	-0.135
JC	Event_1250	Retained Intron	chr16	-	ENSG00000007384	RHBDF1	1	Retained Intron_1			0.128	-0.111
JC	Event_1924	Skipped Exon	chr16	-	ENSG00000007384	RHBDF1	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.114	
JC	Event_1925	Skipped Exon	chr16	-	ENSG00000007384	RHBDF1	2	Skipped Exon_2	Common to shRING1A.B and shRYBP	-0.173	-0.173	
JC	Event_1926	Skipped Exon	chr16	-	ENSG00000007384	RHBDF1	3	Skipped Exon_3	Common to shRING1A.B and shRYBP	-0.25	-0.205	
JC	Event_1927	Skipped Exon	chr16	-	ENSG00000007384	RHBDF1	4	Skipped Exon_4	Common to shRING1A.B and shRYBP	-0.203	-0.209	
JC	Event_25	Alternative 5' Splice Site	chr16	-	ENSG00000007384	RHBDF1	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP	-0.325	-0.325	
JC	Event_521	Alternative 3' Splice Site	chr16	-	ENSG00000007384	RHBDF1	1	Alternative 3' Splice Site_1			0.145	-0.131
JCEC	Event_1531	Retained Intron	chr16	-	ENSG00000007384	RHBDF1	2	Retained Intron_2			0.145	-0.126
JCEC	Event_1924	Skipped Exon	chr16	-	ENSG00000007384	RHBDF1	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.114	
JCEC	Event_1925	Skipped Exon	chr16	-	ENSG00000007384	RHBDF1	2	Skipped Exon_2	Common to shRING1A.B and shRYBP	-0.173	-0.173	
JCEC	Event_1927	Skipped Exon	chr16	-	ENSG00000007384	RHBDF1	4	Skipped Exon_4	Common to shRING1A.B and shRYBP	-0.203	-0.209	
JCEC	Event_25	Alternative 5' Splice Site	chr16	-	ENSG00000007384	RHBDF1	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP	-0.325	-0.325	
JCEC	Event_407	Alternative 5' Splice Site	chr16	-	ENSG00000007384	RHBDF1	2	Alternative 5' Splice Site_2	Common to shRING1A.B and shRYBP	-0.122	-0.122	
JCEC	Event_4608	Skipped Exon	chr16	-	ENSG00000007384	RHBDF1	5	Skipped Exon_5	Common to shRING1A.B and shRYBP	-0.254	-0.208	
JCEC	Event_521	Alternative 3' Splice Site	chr16	-	ENSG00000007384	RHBDF1	1	Alternative 3' Splice Site_1			0.145	-0.131
JC	Event_3062	Skipped Exon	chr16	+	ENSG00000007541	PIGQ	1	Skipped Exon_1	Unique to shRING1A.B vs Control	0.11		
JCEC	Event_3062	Skipped Exon	chr16	+	ENSG00000007541	PIGQ	1	Skipped Exon_1	Unique to shRING1A.B vs Control	0.11		
JC	Event_2489	Skipped Exon	chr6	+	ENSG00000008083	JARID2	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.23	
JCEC	Event_2489	Skipped Exon	chr6	+	ENSG00000008083	JARID2	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.23	
JC	Event_2634	Skipped Exon	chr17	-	ENSG00000008294	SPAG9	1	Skipped Exon_1			-0.146	0.219
JCEC	Event_2634	Skipped Exon	chr17	-	ENSG00000008294	SPAG9	1	Skipped Exon_1			-0.146	0.219
JC	Event_2589	Skipped Exon	chr7	-	ENSG00000008311	AASS	1	Skipped Exon_1			-0.376	0.353
JCEC	Event_2589	Skipped Exon	chr7	-	ENSG00000008311	AASS	1	Skipped Exon_1			-0.376	0.353
JCEC	Event_5259	Skipped Exon	chr8	-	ENSG00000008513	ST3GAL1	1	Skipped Exon_1				0.114
JC	Event_1044	Mutually Exclusive Exon	chr16	+	ENSG00000008517	IL32	1	Mutually Exclusive Exon_1				-0.115
JC	Event_1244	Retained Intron	chr16	+	ENSG00000008517	IL32	1	Retained Intron_1	Unique to shRYBP vs Control		-0.139	
JC	Event_23	Alternative 5' Splice Site	chr16	+	ENSG00000008517	IL32	1	Alternative 5' Splice Site_1	Unique to shRYBP vs Control		-0.47	
JCEC	Event_1044	Mutually Exclusive Exon	chr16	+	ENSG00000008517	IL32	1	Mutually Exclusive Exon_1				-0.115
JCEC	Event_1244	Retained Intron	chr16	+	ENSG00000008517	IL32	1	Retained Intron_1	Unique to shRYBP vs Control		-0.139	
JCEC	Event_1528	Retained Intron	chr16	+	ENSG00000008517	IL32	2	Retained Intron_2	Unique to shRYBP vs Control		-0.109	
JCEC	Event_23	Alternative 5' Splice Site	chr16	+	ENSG00000008517	IL32	1	Alternative 5' Splice Site_1	Unique to shRYBP vs Control		-0.47	
JC	Event_1370	Retained Intron	chr16	-	ENSG00000008710	PKD1	1	Retained Intron_1	Unique to shRING1A.B vs Control	0.111		
JC	Event_3058	Skipped Exon	chr16	-	ENSG00000008710	PKD1	1	Skipped Exon_1	Unique to shRING1A.B vs Control	0.2		
JC	Event_317	Alternative 5' Splice Site	chr16	-	ENSG00000008710	PKD1	1	Alternative 5' Splice Site_1				-0.232
JCEC	Event_1370	Retained Intron	chr16	-	ENSG00000008710	PKD1	1	Retained Intron_1	Unique to shRING1A.B vs Control	0.111		
JCEC	Event_3058	Skipped Exon	chr16	-	ENSG00000008710	PKD1	1	Skipped Exon_1	Unique to shRING1A.B vs Control	0.2		
JC	Event_214	Alternative 5' Splice Site	chr12	-	ENSG00000010295	IFFO1	1	Alternative 5' Splice Site_1	Same Direction	-0.115		-0.229
JCEC	Event_214	Alternative 5' Splice Site	chr12	-	ENSG00000010295	IFFO1	1	Alternative 5' Splice Site_1	Same Direction	-0.115		-0.229
JC	Event_1904	Skipped Exon	chr19	-	ENSG00000010361	FUZ	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.384	
JC	Event_1905	Skipped Exon	chr19	-	ENSG00000010361	FUZ	2	Skipped Exon_2	Unique to shRYBP vs Control		-0.161	
JCEC	Event_1905	Skipped Exon	chr19	-	ENSG00000010361	FUZ	2	Skipped Exon_2	Unique to shRYBP vs Control		-0.161	
JCEC	Event_4598	Skipped Exon	chr19	-	ENSG00000010361	FUZ	3	Skipped Exon_3	Unique to shRYBP vs Control		-0.422	
JC	Event_2869	Skipped Exon	chr12	+	ENSG00000010626	LRRC23	1	Skipped Exon_1			0.404	-0.444
JC	Event_4506	Skipped Exon	chr12	+	ENSG00000010626	LRRC23	2	Skipped Exon_2				0.109
JC	Event_4507	Skipped Exon	chr12	+	ENSG00000010626	LRRC23	3	Skipped Exon_3				0.374
JCEC	Event_2869	Skipped Exon	chr12	+	ENSG00000010626	LRRC23	1	Skipped Exon_1			0.404	-0.444
JCEC	Event_5400	Skipped Exon	chr12	+	ENSG00000010626	LRRC23	4	Skipped Exon_4				0.111
JCEC	Event_5401	Skipped Exon	chr12	+	ENSG00000010626	LRRC23	5	Skipped Exon_5				0.336
JC	Event_3378	Skipped Exon	chr1	-	ENSG00000010803	SCMH1	1	Skipped Exon_1	Same Direction	-0.407		-0.338
JC	Event_4198	Skipped Exon	chr1	-	ENSG00000010803	SCMH1	2	Skipped Exon_2				-0.223
JCEC	Event_4198	Skipped Exon	chr1	-	ENSG00000010803	SCMH1	2	Skipped Exon_2				-0.223
JCEC	Event_5056	Skipped Exon	chr1	-	ENSG00000010803	SCMH1	3	Skipped Exon_3	Same Direction	-0.419		-0.312
JC	Event_3013	Skipped Exon	chr17	-	ENSG00000011143	MKS1	1	Skipped Exon_1	Unique to shRING1A.B vs Control	-0.11		
JCEC	Event_3013	Skipped Exon	chr17	-	ENSG00000011143	MKS1	1	Skipped Exon_1	Unique to shRING1A.B vs Control	-0.11		
JC	Event_2529	Skipped Exon	chr3	+	ENSG00000011198	ABHD5	1	Skipped Exon_1	Unique to shRYBP vs Control		0.109	
JCEC	Event_2529	Skipped Exon	chr3	+	ENSG00000011198	ABHD5	1	Skipped Exon_1	Unique to shRYBP vs Control		0.109	
JC	Event_2553	Skipped Exon	chr7	+	ENSG00000011426	ANLN	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.116	
JCEC	Event_2553	Skipped Exon	chr7	+	ENSG00000011426	ANLN	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.116	
JC	Event_3859	Skipped Exon	chr19	-	ENSG00000011451	WIZ	1	Skipped Exon_1				0.236
JC	Event_3860	Skipped Exon	chr19	-	ENSG00000011451	WIZ	2	Skipped Exon_2				0.199
JC	Event_3861	Skipped Exon	chr19	-	ENSG00000011451	WIZ	3	Skipped Exon_3				0.362
JC	Event_3862	Skipped Exon	chr19	-	ENSG00000011451	WIZ	4	Skipped Exon_4				-0.31
JCEC	Event_5206	Skipped Exon	chr19	-	ENSG00000011451	WIZ	5	Skipped Exon_5				0.164
JCEC	Event_5207	Skipped Exon	chr19	-	ENSG00000011451	WIZ	6	Skipped Exon_6				0.112
JCEC	Event_5208	Skipped Exon	chr19	-	ENSG00000011451	WIZ	7	Skipped Exon_7				0.337
JCEC	Event_5209	Skipped Exon	chr19	-	ENSG00000011451	WIZ	8	Skipped Exon_8				-0.288
JCEC	Event_809	Alternative 3' Splice Site	chr3	+	ENSG00000012171	SEMA3B	1	Alternative 3' Splice Site_1	Unique to shRING1A.B vs Control	0.271		
JC	Event_2837	Skipped Exon	chr8	+	ENSG00000012232	EXTL3	1	Skipped Exon_1	Common to shRING1A.B and shRYBP	0.13	0.129	
JC	Event_3756	Skipped Exon	chr8	+	ENSG00000012232	EXTL3	2	Skipped Exon_2	Unique to shRING1A.B vs Control	0.248		
JCEC	Event_3756	Skipped Exon	chr8	+	ENSG00000012232	EXTL3	2	Skipped Exon_2	Unique to shRING1A.B vs Control	0.248		
JCEC	Event_1649	Retained Intron	chr2	-	ENSG00000013441	CLK1	1	Retained Intron_1	Unique to shRING1A.B vs Control	-0.136		
JCEC	Event_1549	Retained Intron	chr12	+	ENSG00000013573	DDX11	1	Retained Intron_1	Unique to shRYBP vs Control		-0.111	
JC	Event_2656	Skipped Exon	chrX	+	ENSG00000013619	MAMLD1	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.292	
JCEC	Event_2656	Skipped Exon	chrX	+	ENSG00000013619	MAMLD1	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.292	
JC	Event_2331	Skipped Exon	chr1	-	ENSG00000014914	MTMR11	1	Skipped Exon_1			-0.17	0.169
JC	Event_3369	Skipped Exon	chr1	-	ENSG00000014914	MTMR11	2	Skipped Exon_2	Unique to shRING1A.B vs Control	0.473		
JC	Event_4188	Skipped Exon	chr1	-	ENSG00000014914	MTMR11	3	Skipped Exon_3				0.102
JCEC	Event_2331	Skipped Exon	chr1	-	ENSG00000014914	MTMR11	1	Skipped Exon_1			-0.17	0.169
JCEC	Event_3369	Skipped Exon	chr1	-	ENSG00000014914	MTMR11	2	Skipped Exon_2	Unique to shRING1A.B vs Control	0.473		
JCEC	Event_5298	Skipped Exon	chr1	-	ENSG00000014914	MTMR11	4	Skipped Exon_4				0.104
JC	Event_995	Mutually Exclusive Exon	chr12	-	ENSG00000015153	YAF2	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control	0.602		
JCEC	Event_995	Mutually Exclusive Exon	chr12	-	ENSG00000015153	YAF2	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control	0.602		
JC	Event_3849	Skipped Exon	chr22	-	ENSG00000015475	BID	1	Skipped Exon_1				0.105
JC	Event_2208	Skipped Exon	chr17	+	ENSG00000015532	XYLT2	1	Skipped Exon_1	Unique to shRYBP vs Control		0.172	
JCEC	Event_2208	Skipped Exon	chr17	+	ENSG00000015532	XYLT2	1	Skipped Exon_1	Unique to shRYBP vs Control		0.172	
JC	Event_3108	Skipped Exon	chr3	-	ENSG00000016864	GLT8D1	1	Skipped Exon_1	Unique to shRING1A.B vs Control	0.132		
JC	Event_2013	Skipped Exon	chr4	+	ENSG00000018189	RUFY3	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.345	
JC	Event_2014	Skipped Exon	chr4	+	ENSG00000018189	RUFY3	2	Skipped Exon_2	Common to shRING1A.B and shRYBP	-0.199	-0.199	
JCEC	Event_2013	Skipped Exon	chr4	+	ENSG00000018189	RUFY3	1	Skipped Exon_1	Unique to shRYBP vs Control		-0.345	
JCEC	Event_2014	Skipped Exon	chr4	+	ENSG00000018189	RUFY3	2	Skipped Exon_2	Common to shRING1A.B and shRYBP	-0.199	-0.199	
JC	Event_2778	Skipped Exon	chr11	+	ENSG00000019485	PRDM11	1	Skipped Exon_1	Common to shRING1A.B and shRYBP	-0.454	-0.588	
JCEC	Event_4891	Skipped Exon	chr11	+	ENSG00000019485	PRDM11	2	Skipped Exon_2	Common to shRING1A.B and shRYBP	-0.393	-0.469	
JC	Event_4113	Skipped Exon	chr5	-	ENSG00000019582	CD74	1	Skipped Exon_1				-0.435
JCEC	Event_5276	Skipped Exon	chr5	-	ENSG00000019582	CD74	2	Skipped Exon_2				-0.392
JC	Event_2414	Skipped Exon	chr2	+	ENSG00000021574	SPAST	1	Skipped Exon_1	Common to shRING1A.B and shRYBP	-0.157	-0.143	
JCEC	Event_2414	Skipped Exon	chr2	+	ENSG00000021574	SPAST	1	Skipped Exon_1	Common to shRING1A.B and shRYBP	-0.157	-0.143	
JC	Event_2675	Skipped Exon	chr8	-	ENSG00000022567	SLC45A4	1	Skipped Exon_1			-0.251	0.334
JCEC	Event_5370	Skipped Exon	chr8	-	ENSG00000022567	SLC45A4	2	Skipped Exon_2				0.33
