JuncType	Event_ID	Event_Group	GeneID	geneSymbol	Gene_Event_ID	DSE_Category	Control	shRING1A.B	shRYBP
JC	Event_1091	Mutually Exclusive Exon	ENSG00000253477	AC012213.1	1			27	35
JC	Event_1092	Mutually Exclusive Exon	ENSG00000254166	CASC19	2			70	55
JC	Event_1093	Mutually Exclusive Exon	ENSG00000254166	CASC19	3			18	8
JC	Event_1094	Mutually Exclusive Exon	ENSG00000171045	TSNARE1	1			75	63
JC	Event_1095	Mutually Exclusive Exon	ENSG00000153786	ZDHHC7	1			1521	950
JC	Event_1096	Mutually Exclusive Exon	ENSG00000155974	GRIP1	1			51	46
JC	Event_1097	Mutually Exclusive Exon	ENSG00000132334	PTPRE	1			206	162
JC	Event_1098	Mutually Exclusive Exon	ENSG00000167130	DOLPP1	1			29	35
JC	Event_1099	Mutually Exclusive Exon	ENSG00000100461	RBM23	1			34	17
JC	Event_110	Alternative 5' Splice Site	ENSG00000123600	METTL8	1	Unique to shRYBP vs Control	153		135
JC	Event_1100	Mutually Exclusive Exon	ENSG00000100461	RBM23	2			60	42
JC	Event_1101	Mutually Exclusive Exon	ENSG00000100461	RBM23	3			25	19
JC	Event_1102	Mutually Exclusive Exon	ENSG00000163947	ARHGEF3	1			63	31
JC	Event_1103	Mutually Exclusive Exon	ENSG00000215039	CD27-AS1	1			101	46
JC	Event_1104	Mutually Exclusive Exon	ENSG00000250305	TRMT9B	1			39	23
JC	Event_1106	Mutually Exclusive Exon	ENSG00000151849	CENPJ	1			48	74
JC	Event_1107	Mutually Exclusive Exon	ENSG00000136146	MED4	1			734	372
JC	Event_1108	Mutually Exclusive Exon	ENSG00000182612	TSPAN10	1			102	50
JC	Event_1109	Mutually Exclusive Exon	ENSG00000139793	MBNL2	1			378	589
JC	Event_111	Alternative 5' Splice Site	ENSG00000126254	RBM42	1	Unique to shRYBP vs Control	122		130
JC	Event_1110	Mutually Exclusive Exon	ENSG00000253161	LINC01605	1			73	52
JC	Event_1111	Mutually Exclusive Exon	ENSG00000100526	CDKN3	1			202	363
JC	Event_1112	Mutually Exclusive Exon	ENSG00000119684	MLH3	1			36	32
JC	Event_112	Alternative 5' Splice Site	ENSG00000168758	SEMA4C	1	Unique to shRYBP vs Control	35		49
JC	Event_113	Alternative 5' Splice Site	ENSG00000160766	GBAP1	1	Common to shRING1A.B and shRYBP	62	44	50
JC	Event_114	Alternative 5' Splice Site	ENSG00000095059	DHPS	1	Unique to shRYBP vs Control	8		23
JC	Event_115	Alternative 5' Splice Site	ENSG00000180902	D2HGDH	1		18	38	35
JC	Event_116	Alternative 5' Splice Site	ENSG00000113645	WWC1	1	Unique to shRYBP vs Control	40		42
JC	Event_117	Alternative 5' Splice Site	ENSG00000114745	GORASP1	1	Unique to shRYBP vs Control	50		63
JC	Event_118	Alternative 5' Splice Site	ENSG00000164050	PLXNB1	1	Unique to shRYBP vs Control	43		29
JC	Event_119	Alternative 5' Splice Site	ENSG00000172493	AFF1	1	Unique to shRYBP vs Control	100		102
JC	Event_12	Alternative 5' Splice Site	ENSG00000115268	RPS15	1	Unique to shRYBP vs Control	24		8
JC	Event_120	Alternative 5' Splice Site	ENSG00000196295	GARS-DT	1		41	36	34
JC	Event_121	Alternative 5' Splice Site	ENSG00000003147	ICA1	1	Unique to shRYBP vs Control	102		65
JC	Event_122	Alternative 5' Splice Site	ENSG00000071189	SNX13	1		58	127	65
JC	Event_1220	Retained Intron	ENSG00000128159	TUBGCP6	1	Unique to shRYBP vs Control	33		54
JC	Event_1221	Retained Intron	ENSG00000133460	SLC2A11	1	Unique to shRYBP vs Control	18		21
JC	Event_1222	Retained Intron	ENSG00000185686	PRAME	1	Common to shRING1A.B and shRYBP	73	140	116
JC	Event_1223	Retained Intron	ENSG00000177380	PPFIA3	1	Common to shRING1A.B and shRYBP	91	155	140
JC	Event_1225	Retained Intron	ENSG00000064545	TMEM161A	1	Common to shRING1A.B and shRYBP	136	258	156
JC	Event_1226	Retained Intron	ENSG00000006015	REX1BD	1	Unique to shRYBP vs Control	824		994
JC	Event_1227	Retained Intron	ENSG00000161847	RAVER1	1	Unique to shRYBP vs Control	271		366
JC	Event_1229	Retained Intron	ENSG00000115268	RPS15	1	Unique to shRYBP vs Control	32		19
JC	Event_1230	Retained Intron	ENSG00000099624	ATP5F1D	1		1946	2267	2054
JC	Event_1231	Retained Intron	ENSG00000064932	SBNO2	1		69	54	47
JC	Event_1232	Retained Intron	ENSG00000203896	LIME1	1	Common to shRING1A.B and shRYBP	81	96	88
JC	Event_1233	Retained Intron	ENSG00000185513	L3MBTL1	1	Common to shRING1A.B and shRYBP	20	32	19
JC	Event_1234	Retained Intron	ENSG00000101639	CEP192	1	Unique to shRYBP vs Control	53		56
JC	Event_1235	Retained Intron	ENSG00000214087	ARL16	1		32	64	49
JC	Event_1236	Retained Intron	ENSG00000161526	SAP30BP	1		56	79	46
JC	Event_1237	Retained Intron	ENSG00000267278	MAP3K14-AS1	1	Common to shRING1A.B and shRYBP	39	30	42
JC	Event_1238	Retained Intron	ENSG00000273559	CWC25	1		82	98	59
JC	Event_1239	Retained Intron	ENSG00000108591	DRG2	1	Common to shRING1A.B and shRYBP	5	18	6
JC	Event_124	Alternative 5' Splice Site	ENSG00000135164	DMTF1	1	Common to shRING1A.B and shRYBP	81	83	86
JC	Event_1240	Retained Intron	ENSG00000072849	DERL2	1	Unique to shRYBP vs Control	73		64
JC	Event_1241	Retained Intron	ENSG00000179044	EXOC3L1	1	Unique to shRYBP vs Control	17		66
JC	Event_1242	Retained Intron	ENSG00000260628	AC142381.3	1	Common to shRING1A.B and shRYBP	32	82	52
JC	Event_1243	Retained Intron	ENSG00000182310	SPACA6	1	Common to shRING1A.B and shRYBP	37	90	64
JC	Event_1244	Retained Intron	ENSG00000008517	IL32	1	Unique to shRYBP vs Control	254		315
JC	Event_1245	Retained Intron	ENSG00000162062	TEDC2	1		140	171	177
JC	Event_1246	Retained Intron	ENSG00000162004	CCDC78	1	Unique to shRYBP vs Control	21		18
JC	Event_1247	Retained Intron	ENSG00000162004	CCDC78	2	Unique to shRYBP vs Control	24		29
JC	Event_1248	Retained Intron	ENSG00000162004	CCDC78	3	Unique to shRYBP vs Control	33		21
JC	Event_1249	Retained Intron	ENSG00000127580	WDR24	1	Common to shRING1A.B and shRYBP	83	116	98
JC	Event_125	Alternative 5' Splice Site	ENSG00000051825	MPHOSPH9	1	Unique to shRYBP vs Control	48		84
JC	Event_1250	Retained Intron	ENSG00000007384	RHBDF1	1		89	138	118
JC	Event_1251	Retained Intron	ENSG00000250988	SNHG21	1	Unique to shRYBP vs Control	41		35
JC	Event_1252	Retained Intron	ENSG00000102901	CENPT	1		36	62	28
JC	Event_1253	Retained Intron	ENSG00000099797	TECR	1	Unique to shRYBP vs Control	469		426
JC	Event_1254	Retained Intron	ENSG00000125459	MSTO1	1		33		61
JC	Event_1255	Retained Intron	ENSG00000170085	SIMC1	1		161	120	119
JC	Event_1256	Retained Intron	ENSG00000177595	PIDD1	1		30	34	24
JC	Event_1257	Retained Intron	ENSG00000197375	SLC22A5	1	Unique to shRYBP vs Control	37		60
JC	Event_1258	Retained Intron	ENSG00000065357	DGKA	1		21	48	20
JC	Event_1259	Retained Intron	ENSG00000127184	COX7C	1	Common to shRING1A.B and shRYBP	32	39	31
JC	Event_126	Alternative 5' Splice Site	ENSG00000061938	TNK2	1	Common to shRING1A.B and shRYBP	113	193	88
JC	Event_1260	Retained Intron	ENSG00000104731	KLHDC4	1	Unique to shRYBP vs Control	95		89
JC	Event_1261	Retained Intron	ENSG00000143369	ECM1	1	Unique to shRYBP vs Control	36		40
JC	Event_1262	Retained Intron	ENSG00000163161	ERCC3	1	Common to shRING1A.B and shRYBP	54	21	30
JC	Event_1263	Retained Intron	ENSG00000184661	CDCA2	1	Unique to shRYBP vs Control	84		61
JC	Event_1264	Retained Intron	ENSG00000164073	MFSD8	1	Unique to shRYBP vs Control	41		40
JC	Event_1266	Retained Intron	ENSG00000185507	IRF7	1	Unique to shRYBP vs Control	27		78
JC	Event_1267	Retained Intron	ENSG00000034533	ASTE1	1		68	125	62
JC	Event_1268	Retained Intron	ENSG00000100911	PSME2	1		35	24	31
JC	Event_1269	Retained Intron	ENSG00000160298	C21orf58	1		29	29	25
JC	Event_127	Alternative 5' Splice Site	ENSG00000123191	ATP7B	1	Unique to shRYBP vs Control	81		80
JC	Event_1270	Retained Intron	ENSG00000256269	HMBS	1		10	15	17
JC	Event_1271	Retained Intron	ENSG00000096093	EFHC1	1		71	89	56
JC	Event_1272	Retained Intron	ENSG00000265241	RBM8A	1	Unique to shRYBP vs Control	23		43
JC	Event_1273	Retained Intron	ENSG00000159214	CCDC24	1	Unique to shRYBP vs Control	75		66
JC	Event_1274	Retained Intron	ENSG00000122678	POLM	1		105	92	51
JC	Event_1275	Retained Intron	ENSG00000122335	SERAC1	1	Unique to shRYBP vs Control	16		18
JC	Event_1276	Retained Intron	ENSG00000117616	RSRP1	1	Unique to shRYBP vs Control	130		173
JC	Event_1277	Retained Intron	ENSG00000060971	ACAA1	1		282	372	139
JC	Event_1278	Retained Intron	ENSG00000112531	QKI	1		29	26	23
JC	Event_1279	Retained Intron	ENSG00000214941	ZSWIM7	1	Common to shRING1A.B and shRYBP	112	87	70
JC	Event_128	Alternative 5' Splice Site	ENSG00000148143	ZNF462	1	Common to shRING1A.B and shRYBP	28	75	56
JC	Event_1280	Retained Intron	ENSG00000214941	ZSWIM7	2	Unique to shRYBP vs Control	91		69
JC	Event_1281	Retained Intron	ENSG00000111653	ING4	1	Unique to shRYBP vs Control	69		77
JC	Event_1282	Retained Intron	ENSG00000111653	ING4	2	Unique to shRYBP vs Control	40		44
JC	Event_1283	Retained Intron	ENSG00000132781	MUTYH	1	Unique to shRYBP vs Control	166		182
JC	Event_1284	Retained Intron	ENSG00000132781	MUTYH	2	Unique to shRYBP vs Control	35		33
JC	Event_1285	Retained Intron	ENSG00000111801	BTN3A3	1	Common to shRING1A.B and shRYBP	69	62	113
JC	Event_1286	Retained Intron	ENSG00000142910	TINAGL1	1	Common to shRING1A.B and shRYBP	140	84	125
JC	Event_1287	Retained Intron	ENSG00000099622	CIRBP	1	Unique to shRYBP vs Control	19		26
JC	Event_1288	Retained Intron	ENSG00000072135	PTPN18	1	Unique to shRYBP vs Control	72		43
JC	Event_1289	Retained Intron	ENSG00000173039	RELA	1	Unique to shRYBP vs Control	64		65
JC	Event_129	Alternative 5' Splice Site	ENSG00000111203	ITFG2	1		17	20	6
JC	Event_1290	Retained Intron	ENSG00000115524	SF3B1	1	Common to shRING1A.B and shRYBP	63	134	107
JC	Event_1291	Retained Intron	ENSG00000146263	MMS22L	1		30	27	27
JC	Event_1292	Retained Intron	ENSG00000170581	STAT2	1	Unique to shRYBP vs Control	244		213
JC	Event_1293	Retained Intron	ENSG00000110844	PRPF40B	1	Unique to shRYBP vs Control	12		5
JC	Event_1294	Retained Intron	ENSG00000147813	NAPRT	1		11	20	19
JC	Event_1295	Retained Intron	ENSG00000173209	AHSA2P	1	Unique to shRYBP vs Control	179		172
JC	Event_1296	Retained Intron	ENSG00000105402	NAPA	1	Unique to shRYBP vs Control	21		35
JC	Event_1297	Retained Intron	ENSG00000141504	SAT2	1	Unique to shRYBP vs Control	379		382
JC	Event_1298	Retained Intron	ENSG00000067445	TRO	1		239	462	120
JC	Event_1299	Retained Intron	ENSG00000112855	HARS2	1		23	28	13
JC	Event_13	Alternative 5' Splice Site	ENSG00000196756	SNHG17	1	Common to shRING1A.B and shRYBP	68	75	44
JC	Event_130	Alternative 5' Splice Site	ENSG00000164855	TMEM184A	1	Unique to shRYBP vs Control	270		258
JC	Event_1301	Retained Intron	ENSG00000157379	DHRS1	1	Unique to shRYBP vs Control	57		76
JC	Event_1302	Retained Intron	ENSG00000168890	TMEM150A	1	Unique to shRYBP vs Control	121		74
JC	Event_1303	Retained Intron	ENSG00000168763	CNNM3	1		22	21	29
JC	Event_1304	Retained Intron	ENSG00000269313	MAGIX	1	Common to shRING1A.B and shRYBP	10	35	27
JC	Event_1305	Retained Intron	ENSG00000160766	GBAP1	1	Unique to shRYBP vs Control	47		64
JC	Event_1306	Retained Intron	ENSG00000166762	CATSPER2	1	Common to shRING1A.B and shRYBP	5	24	16
JC	Event_1307	Retained Intron	ENSG00000105136	ZNF419	1	Unique to shRYBP vs Control	40		41
JC	Event_1308	Retained Intron	ENSG00000108465	CDK5RAP3	1	Common to shRING1A.B and shRYBP	200	307	296
JC	Event_1309	Retained Intron	ENSG00000239665	AL157392.3	1	Unique to shRYBP vs Control	14		15
JC	Event_131	Alternative 5' Splice Site	ENSG00000185485	SDHAP1	1	Unique to shRYBP vs Control	69		60
JC	Event_1310	Retained Intron	ENSG00000198830	HMGN2	1	Unique to shRYBP vs Control	98		92
JC	Event_1311	Retained Intron	ENSG00000198830	HMGN2	2		102	74	105
JC	Event_1312	Retained Intron	ENSG00000170364	SETMAR	1	Unique to shRYBP vs Control	225		257
JC	Event_1314	Retained Intron	ENSG00000114745	GORASP1	1	Common to shRING1A.B and shRYBP	37	55	47
JC	Event_1315	Retained Intron	ENSG00000253552	HOXA-AS2	1	Common to shRING1A.B and shRYBP	51	36	44
JC	Event_1316	Retained Intron	ENSG00000157214	STEAP2	1	Unique to shRYBP vs Control	46		6
JC	Event_1317	Retained Intron	ENSG00000234545	FAM133B	1		53	43	24
JC	Event_1318	Retained Intron	ENSG00000181513	ACBD4	1		95	97	98
JC	Event_132	Alternative 5' Splice Site	ENSG00000223959	AFG3L1P	1	Unique to shRYBP vs Control	15		29
JC	Event_1320	Retained Intron	ENSG00000179818	PCBP1-AS1	1	Unique to shRYBP vs Control	68		34
JC	Event_1321	Retained Intron	ENSG00000198198	SZT2	1	Unique to shRYBP vs Control	48		78
JC	Event_1322	Retained Intron	ENSG00000005302	MSL3	1		37	60	47
JC	Event_1323	Retained Intron	ENSG00000169598	DFFB	1	Unique to shRYBP vs Control	93		54
JC	Event_1324	Retained Intron	ENSG00000119760	SUPT7L	1	Common to shRING1A.B and shRYBP	113	191	121
JC	Event_1325	Retained Intron	ENSG00000110583	NAA40	1	Common to shRING1A.B and shRYBP	45	49	63
JC	Event_1326	Retained Intron	ENSG00000092330	TINF2	1	Unique to shRYBP vs Control	236		186
JC	Event_1327	Retained Intron	ENSG00000103037	SETD6	1	Unique to shRYBP vs Control	131		98
JC	Event_1328	Retained Intron	ENSG00000182196	ARL6IP4	1	Common to shRING1A.B and shRYBP	156	163	196
JC	Event_1329	Retained Intron	ENSG00000104365	IKBKB	1	Different Direction	26	25	27
JC	Event_1330	Retained Intron	ENSG00000100023	PPIL2	1	Unique to shRYBP vs Control	21		14
JC	Event_1331	Retained Intron	ENSG00000061273	HDAC7	1		19	41	22
JC	Event_1333	Retained Intron	ENSG00000120217	CD274	1	Unique to shRYBP vs Control	55		42
JC	Event_1334	Retained Intron	ENSG00000158850	B4GALT3	1	Common to shRING1A.B and shRYBP	57	70	50
JC	Event_1335	Retained Intron	ENSG00000119509	INVS	1	Unique to shRYBP vs Control	158		128
JC	Event_1336	Retained Intron	ENSG00000142102	PGGHG	1	Common to shRING1A.B and shRYBP	24	39	21
JC	Event_1337	Retained Intron	ENSG00000110619	CARS	1		181	152	212
JC	Event_1338	Retained Intron	ENSG00000179532	DNHD1	1	Common to shRING1A.B and shRYBP	14	12	26
JC	Event_1339	Retained Intron	ENSG00000179532	DNHD1	2	Common to shRING1A.B and shRYBP	10	28	13
JC	Event_1340	Retained Intron	ENSG00000166333	ILK	1		26	41	21
JC	Event_1341	Retained Intron	ENSG00000103510	KAT8	1	Common to shRING1A.B and shRYBP	42	62	57
JC	Event_1342	Retained Intron	ENSG00000084207	GSTP1	1	Common to shRING1A.B and shRYBP	37	39	66
JC	Event_1343	Retained Intron	ENSG00000204356	NELFE	1	Common to shRING1A.B and shRYBP	286	265	229
JC	Event_1344	Retained Intron	ENSG00000186073	C15orf41	1	Unique to shRYBP vs Control	208		156
JC	Event_1345	Retained Intron	ENSG00000103024	NME3	1		83	117	86
JC	Event_1346	Retained Intron	ENSG00000125967	NECAB3	1	Unique to shRYBP vs Control	308		384
JC	Event_1347	Retained Intron	ENSG00000135451	TROAP	1	Unique to shRYBP vs Control	90		50
JC	Event_1348	Retained Intron	ENSG00000135452	TSPAN31	1	Common to shRING1A.B and shRYBP	27	33	27
JC	Event_135	Alternative 5' Splice Site	ENSG00000151090	THRB	1	Unique to shRYBP vs Control	91		74
JC	Event_1350	Retained Intron	ENSG00000135740	SLC9A5	1	Unique to shRYBP vs Control	9		22
JC	Event_1351	Retained Intron	ENSG00000121310	ECHDC2	1	Common to shRING1A.B and shRYBP	91	211	108
JC	Event_1352	Retained Intron	ENSG00000185246	PRPF39	1	Unique to shRYBP vs Control	41		46
JC	Event_1353	Retained Intron	ENSG00000185917	SETD4	1	Unique to shRING1A.B vs Control	88	107	
JC	Event_1354	Retained Intron	ENSG00000188130	MAPK12	1	Unique to shRING1A.B vs Control	21	46	
JC	Event_1355	Retained Intron	ENSG00000198089	SFI1	1	Unique to shRING1A.B vs Control	44	85	
JC	Event_1356	Retained Intron	ENSG00000100359	SGSM3	1	Unique to shRING1A.B vs Control	77	130	
JC	Event_1357	Retained Intron	ENSG00000133247	KMT5C	1	Unique to shRING1A.B vs Control	51	113	
JC	Event_1358	Retained Intron	ENSG00000006015	REX1BD	2	Same Direction	33	73	70
JC	Event_1359	Retained Intron	ENSG00000104957	CCDC130	1	Unique to shRING1A.B vs Control	81	107	
JC	Event_136	Alternative 5' Splice Site	ENSG00000100023	PPIL2	1	Common to shRING1A.B and shRYBP	153	209	153
JC	Event_1361	Retained Intron	ENSG00000141425	RPRD1A	1	Same Direction	23	28	39
JC	Event_1362	Retained Intron	ENSG00000169718	DUS1L	1	Unique to shRING1A.B vs Control	34	43	
JC	Event_1363	Retained Intron	ENSG00000108479	GALK1	1	Unique to shRING1A.B vs Control	29	25	
JC	Event_1364	Retained Intron	ENSG00000108671	PSMD11	1	Same Direction	36	19	13
JC	Event_1365	Retained Intron	ENSG00000157353	FUK	1	Unique to shRING1A.B vs Control	33	33	
JC	Event_1366	Retained Intron	ENSG00000103042	SLC38A7	1	Unique to shRING1A.B vs Control	45	31	
