Event_ID	Event_Type	ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	comparison	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	riExonStart_0base	riExonEnd	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	Event_Group	JuncType	Gene_Event_ID	Gene_Event_Type	DSE_Category
Event_1005	mxe_jc	5248	ENSG00000137075	RNF38	chr9	-			36369718	36369932	36400096	36400299	0,0,0	36,10,20	0,0,10	27,26,22	298	298	0.000760694523388	0.0451186939184508	0.0,0.0,0.0	0.0,0.0,0.312	-0.104	Control_vs_shRING1A.B									36375933	36376127	36390466	36390616	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1006	mxe_jc	5340	ENSG00000002822	MAD1L1	chr7	-			1957628	1957719	2014501	2014642	38,44,80	56,61,106	51,42,62	129,125,164	206	238	3.35216022097e-05	0.00605942866609625	0.439,0.455,0.466	0.314,0.28,0.304	0.154	Control_vs_shRING1A.B									1980452	1980541	2002064	2002121	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Same Direction
Event_1006	mxe_jc	5421	ENSG00000002822	MAD1L1	chr7	-			1957628	1957719	2014501	2014642	62,82,65	70,93,105	51,42,62	129,125,164	206	238	3.54022249671e-06	0.00162163015187534	0.506,0.505,0.417	0.314,0.28,0.304	0.177	shRYBP_vs_shRING1A.B									1980452	1980541	2002064	2002121	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Same Direction
Event_1006	mxe_jcec	5340	ENSG00000002822	MAD1L1	chr7	-			1957628	1957719	2014501	2014642	38,44,80	56,61,106	51,42,62	129,125,164	206	238	3.35216022097e-05	0.00619688853961755	0.439,0.455,0.466	0.314,0.28,0.304	0.154	Control_vs_shRING1A.B									1980452	1980541	2002064	2002121	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Same Direction
Event_1006	mxe_jcec	5421	ENSG00000002822	MAD1L1	chr7	-			1957628	1957719	2014501	2014642	62,82,65	70,93,105	51,42,62	129,125,164	206	238	3.54022249671e-06	0.0016285023484866	0.506,0.505,0.417	0.314,0.28,0.304	0.177	shRYBP_vs_shRING1A.B									1980452	1980541	2002064	2002121	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Same Direction
Event_1007	mxe_jc	5387	ENSG00000204764	RANBP17	chr5	+			170881805	170881896	170909660	170909765	9,13,22	2,0,0	5,5,9	5,6,3	298	215	5.51932487491e-07	0.000322328572694744	0.765,1.0,1.0	0.419,0.375,0.684	0.429	Control_vs_shRING1A.B									170892386	170892553	170896049	170896115	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1009	mxe_jc	5745	ENSG00000168385	SEPT2	chr2	+			241315354	241315610	241324215	241324241	1,0,3	5,5,9	11,7,13	0,8,4	268	234	1.03237471816e-05	0.00279921030723954	0.149,0.0,0.225	1.0,0.433,0.739	-0.599	Control_vs_shRING1A.B									241316421	241316540	241320202	241320287	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1009	mxe_jcec	5745	ENSG00000168385	SEPT2	chr2	+			241315354	241315610	241324215	241324241	1,0,3	5,5,9	11,7,13	0,8,4	268	234	1.03237471816e-05	0.00281211499121654	0.149,0.0,0.225	1.0,0.433,0.739	-0.599	Control_vs_shRING1A.B									241316421	241316540	241320202	241320287	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_101	a3ss_jc	5838	ENSG00000123240	OPTN	chr10	+							17,16,22	13,17,23	12,6,13	32,29,26	164	149	0.000338927814322	0.0135056270557693	0.543,0.461,0.465	0.254,0.158,0.312	0.248	Control_vs_shRYBP	13109096	13109288	13109111	13109288	13108961	13109015							Alternative 5' Splice Site	JC	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP
Event_101	a3ss_jc	5869	ENSG00000123240	OPTN	chr10	+							17,16,22	13,17,23	7,22,16	42,35,56	164	149	0.000259377318116	0.011866512303807	0.543,0.461,0.465	0.132,0.363,0.206	0.256	Control_vs_shRING1A.B	13109096	13109288	13109111	13109288	13108961	13109015							Alternative 5' Splice Site	JC	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP
Event_101	a3ss_jcec	5838	ENSG00000123240	OPTN	chr10	+							17,16,22	13,17,23	12,6,13	32,29,26	164	149	0.000338927814322	0.0130637093792754	0.543,0.461,0.465	0.254,0.158,0.312	0.248	Control_vs_shRYBP	13109096	13109288	13109111	13109288	13108961	13109015							Alternative 5' Splice Site	JCEC	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP
Event_101	a3ss_jcec	5869	ENSG00000123240	OPTN	chr10	+							17,16,22	13,17,23	7,22,16	42,35,56	164	149	0.000259377318116	0.0112641426110771	0.543,0.461,0.465	0.132,0.363,0.206	0.256	Control_vs_shRING1A.B	13109096	13109288	13109111	13109288	13108961	13109015							Alternative 5' Splice Site	JCEC	1	Alternative 5' Splice Site_1	Common to shRING1A.B and shRYBP
Event_1010	mxe_jc	5746	ENSG00000168385	SEPT2	chr2	+			241316169	241316315	241324215	241324241	1,0,3	25,25,35	11,14,13	19,21,46	268	250	2.58038599377e-08	3.26504841078364e-05	0.036,0.0,0.074	0.351,0.383,0.209	-0.278	Control_vs_shRING1A.B									241316421	241316540	241317498	241317599	Mutually Exclusive Exon	JC	2	Mutually Exclusive Exon_2	Same Direction
Event_1010	mxe_jc	5847	ENSG00000168385	SEPT2	chr2	+			241316169	241316315	241324215	241324241	3,3,0	26,29,23	11,14,13	19,21,46	268	250	3.84342739368e-06	0.00166270939525479	0.097,0.088,0.0	0.351,0.383,0.209	-0.253	shRYBP_vs_shRING1A.B									241316421	241316540	241317498	241317599	Mutually Exclusive Exon	JC	2	Mutually Exclusive Exon_2	Same Direction
Event_1010	mxe_jcec	5746	ENSG00000168385	SEPT2	chr2	+			241316169	241316315	241324215	241324241	1,0,3	25,25,35	11,14,13	19,21,46	268	250	2.58038599377e-08	3.93612079489676e-05	0.036,0.0,0.074	0.351,0.383,0.209	-0.278	Control_vs_shRING1A.B									241316421	241316540	241317498	241317599	Mutually Exclusive Exon	JCEC	2	Mutually Exclusive Exon_2	Same Direction
Event_1010	mxe_jcec	5847	ENSG00000168385	SEPT2	chr2	+			241316169	241316315	241324215	241324241	3,3,0	26,29,23	11,14,13	19,21,46	268	250	3.84342739368e-06	0.00164217055525934	0.097,0.088,0.0	0.351,0.383,0.209	-0.253	shRYBP_vs_shRING1A.B									241316421	241316540	241317498	241317599	Mutually Exclusive Exon	JCEC	2	Mutually Exclusive Exon_2	Same Direction
Event_1011	mxe_jc	5867	ENSG00000172888	ZNF621	chr3	+			40525778	40525864	40530208	40530316	12,11,37	0,1,8	21,10,37	0,0,0	276	230	7.53079442666e-05	0.00919967984403388	1.0,0.902,0.794	1.0,1.0,1.0	-0.101	Control_vs_shRING1A.B									40529318	40529445	40529494	40529575	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Same Direction
Event_1011	mxe_jc	5972	ENSG00000172888	ZNF621	chr3	+			40525778	40525864	40530208	40530316	16,5,18	2,6,1	21,10,37	0,0,0	276	230	2.88190424217e-05	0.0057542021368661	0.87,0.41,0.938	1.0,1.0,1.0	-0.261	shRYBP_vs_shRING1A.B									40529318	40529445	40529494	40529575	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Same Direction
Event_1011	mxe_jcec	5867	ENSG00000172888	ZNF621	chr3	+			40525778	40525864	40530208	40530316	12,11,37	0,1,8	21,10,37	0,0,0	276	230	7.53079442666e-05	0.00986867390459655	1.0,0.902,0.794	1.0,1.0,1.0	-0.101	Control_vs_shRING1A.B									40529318	40529445	40529494	40529575	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Same Direction
Event_1011	mxe_jcec	5972	ENSG00000172888	ZNF621	chr3	+			40525778	40525864	40530208	40530316	16,5,18	2,6,1	21,10,37	0,0,0	276	230	2.88190424217e-05	0.00563412279344235	0.87,0.41,0.938	1.0,1.0,1.0	-0.261	shRYBP_vs_shRING1A.B									40529318	40529445	40529494	40529575	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Same Direction
Event_1012	mxe_jc	5941	ENSG00000173402	DAG1	chr3	+			49470131	49470433	49510418	49510819	6,3,10	1,0,0	6,10,4	2,9,0	206	298	0.000127497238342	0.0140283917897459	0.897,1.0,1.0	0.813,0.616,1.0	0.156	Control_vs_shRING1A.B									49476848	49476905	49492822	49492973	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1013	mxe_jc	6108	ENSG00000175600	SUGCT	chr7	+			40194939	40195060	40316759	40316855	39,20,23	12,6,18	19,12,18	28,20,28	241	293	3.92167371603e-05	0.00661629930046661	0.798,0.802,0.608	0.452,0.422,0.439	0.298	Control_vs_shRING1A.B									40237634	40237726	40274512	40274656	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1013	mxe_jcec	6108	ENSG00000175600	SUGCT	chr7	+			40194939	40195060	40316759	40316855	39,20,23	12,6,18	19,12,18	28,20,28	241	293	3.92167371603e-05	0.00679786487094564	0.798,0.802,0.608	0.452,0.422,0.439	0.298	Control_vs_shRING1A.B									40237634	40237726	40274512	40274656	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1014	mxe_jc	6222	ENSG00000161010	MRNIP	chr5	-			179844151	179844227	179853377	179853437	2,0,0	35,20,33	3,0,19	28,32,37	229	238	4.90675198589e-05	0.0072434690048964	0.056,0.0,0.0	0.1,0.0,0.348	-0.131	Control_vs_shRING1A.B									179847977	179848066	179853196	179853276	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1014	mxe_jcec	6222	ENSG00000161010	MRNIP	chr5	-			179844151	179844227	179853377	179853437	2,0,0	35,20,33	3,0,19	28,32,37	229	238	4.90675198589e-05	0.00769035444657445	0.056,0.0,0.0	0.1,0.0,0.348	-0.131	Control_vs_shRING1A.B									179847977	179848066	179853196	179853276	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1015	mxe_jc	6287	ENSG00000125434	SLC25A35	chr17	-			8289573	8289643	8290841	8290976	1,2,2	5,0,2	1,5,2	0,0,0	225	280	0.000195709521405	0.0198110224867568	0.199,1.0,0.554	1.0,1.0,1.0	-0.416	Control_vs_shRING1A.B									8289853	8289984	8290602	8290678	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1015	mxe_jcec	6287	ENSG00000125434	SLC25A35	chr17	-			8289573	8289643	8290841	8290976	1,2,2	5,0,2	1,5,2	0,0,0	225	280	0.000195709521405	0.0207316183299435	0.199,1.0,0.554	1.0,1.0,1.0	-0.416	Control_vs_shRING1A.B									8289853	8289984	8290602	8290678	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1016	mxe_jc	6330	ENSG00000105865	DUS4L	chr7	+			107563957	107564209	107571144	107571266	17,13,20	84,59,73	21,36,25	44,45,58	238	286	0.000284727912189	0.0232435947240741	0.196,0.209,0.248	0.364,0.49,0.341	-0.181	Control_vs_shRING1A.B									107564587	107564676	107567049	107567186	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1016	mxe_jcec	6330	ENSG00000105865	DUS4L	chr7	+			107563957	107564209	107571144	107571266	17,13,20	84,59,73	21,36,25	44,45,58	238	286	0.000284727912189	0.0246774975711989	0.196,0.209,0.248	0.364,0.49,0.341	-0.181	Control_vs_shRING1A.B									107564587	107564676	107567049	107567186	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1017	mxe_jc	6397	ENSG00000179818	PCBP1-AS1	chr2	-			70051202	70051305	70083537	70083687	0,3,3	1,0,1	0,0,1	1,3,2	230	187	1.2124248325e-05	0.00306824310944667	0.0,1.0,0.709	0.0,0.0,0.289	0.473	Control_vs_shRING1A.B									70059642	70059680	70077300	70077381	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1017	mxe_jcec	6397	ENSG00000179818	PCBP1-AS1	chr2	-			70051202	70051305	70083537	70083687	0,3,3	1,0,1	0,0,1	1,3,2	230	187	1.2124248325e-05	0.00308238806582583	0.0,1.0,0.709	0.0,0.0,0.289	0.473	Control_vs_shRING1A.B									70059642	70059680	70077300	70077381	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1018	mxe_jc	6525	ENSG00000132554	RGS22	chr8	-			100008374	100008569	100041801	100041916	18,16,18	9,7,11	13,8,12	15,16,29	275	251	0.000176163531812	0.0180735790020395	0.646,0.676,0.599	0.442,0.313,0.274	0.297	Control_vs_shRING1A.B									100038930	100039032	100039961	100040087	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1018	mxe_jcec	6525	ENSG00000132554	RGS22	chr8	-			100008374	100008569	100041801	100041916	18,16,18	9,7,11	13,8,12	15,16,29	275	251	0.000176163531812	0.0191942751018589	0.646,0.676,0.599	0.442,0.313,0.274	0.297	Control_vs_shRING1A.B									100038930	100039032	100039961	100040087	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1019	mxe_jc	6539	ENSG00000126653	NSRP1	chr17	+			30118079	30118173	30172541	30172598	18,6,7	2,0,10	0,0,4	10,3,8	272	245	7.49787450016e-06	0.00227695452820859	0.89,1.0,0.387	0.0,0.0,0.311	0.655	Control_vs_shRING1A.B									30156539	30156662	30163066	30163162	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1019	mxe_jcec	6539	ENSG00000126653	NSRP1	chr17	+			30118079	30118173	30172541	30172598	18,6,7	2,0,10	0,0,4	10,3,8	272	245	7.49787450016e-06	0.00228745155250881	0.89,1.0,0.387	0.0,0.0,0.311	0.655	Control_vs_shRING1A.B									30156539	30156662	30163066	30163162	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_102	a3ss_jc	5920	ENSG00000115970	THADA	chr2	-							35,46,53	0,0,2	17,10,27	3,3,6	152	149	2.52804969103e-06	0.00054294080531021	1.0,1.0,0.963	0.847,0.766,0.815	0.178	Control_vs_shRYBP	43551788	43551925	43551788	43551922	43552203	43552339							Alternative 5' Splice Site	JC	1	Alternative 5' Splice Site_1	
Event_102	a3ss_jc	5954	ENSG00000115970	THADA	chr2	-							17,10,27	3,3,6	25,51,41	0,0,5	152	149	0.000901751221125	0.0281574993976637	0.847,0.766,0.815	1.0,1.0,0.889	-0.154	shRYBP_vs_shRING1A.B	43551788	43551925	43551788	43551922	43552203	43552339							Alternative 5' Splice Site	JC	1	Alternative 5' Splice Site_1	
Event_102	a3ss_jcec	5920	ENSG00000115970	THADA	chr2	-							35,46,53	0,0,2	17,10,27	3,3,6	152	149	2.52804969103e-06	0.000480552504503732	1.0,1.0,0.963	0.847,0.766,0.815	0.178	Control_vs_shRYBP	43551788	43551925	43551788	43551922	43552203	43552339							Alternative 5' Splice Site	JCEC	1	Alternative 5' Splice Site_1	
Event_102	a3ss_jcec	5954	ENSG00000115970	THADA	chr2	-							17,10,27	3,3,6	25,51,41	0,0,5	152	149	0.000901751221125	0.0261429440976587	0.847,0.766,0.815	1.0,1.0,0.889	-0.154	shRYBP_vs_shRING1A.B	43551788	43551925	43551788	43551922	43552203	43552339							Alternative 5' Splice Site	JCEC	1	Alternative 5' Splice Site_1	
Event_1020	mxe_jc	6726	ENSG00000148985	PGAP2	chr11	+			3811249	3811424	3823882	3824135	4,0,0	5,22,13	9,3,7	11,7,8	298	234	0.000260771438458	0.0224974631906038	0.386,0.0,0.0	0.391,0.252,0.407	-0.221	Control_vs_shRING1A.B									3817352	3817535	3822908	3822993	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1021	mxe_jc	6790	ENSG00000188917	TRMT2B	chrX	-			101041316	101041371	101051643	101051733	0,0,0	15,31,25	6,8,0	24,35,39	265	298	7.83918681757e-06	0.00228904255073044	0.0,0.0,0.0	0.219,0.204,0.0	-0.141	Control_vs_shRING1A.B									101042041	101042312	101051250	101051366	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1022	mxe_jc	6839	ENSG00000165675	ENOX2	chrX	-			130703119	130703254	130901683	130901731	46,39,66	8,16,4	19,24,40	0,1,0	293	238	4.35275053889e-07	0.000275384017427107	0.824,0.664,0.931	1.0,0.951,1.0	-0.177	Control_vs_shRING1A.B									130709242	130709331	130783546	130783690	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1022	mxe_jcec	6839	ENSG00000165675	ENOX2	chrX	-			130703119	130703254	130901683	130901731	46,39,66	8,16,4	19,24,40	0,1,0	293	238	4.35275053889e-07	0.000237131631143672	0.824,0.664,0.931	1.0,0.951,1.0	-0.177	Control_vs_shRING1A.B									130709242	130709331	130783546	130783690	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1023	mxe_jc	7010	ENSG00000197467	COL13A1	chr10	+			69930042	69930087	69935349	69935391	5,12,12	1,2,4	4,5,7	0,0,0	298	194	5.15969078815e-05	0.00739101367238392	0.765,0.796,0.661	1.0,1.0,1.0	-0.259	Control_vs_shRING1A.B									69930399	69930552	69932559	69932604	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1024	mxe_jc	7153	ENSG00000182986	ZNF320	chr19	-			52890240	52890328	52897519	52897654	2,0,0	8,10,11	3,4,4	1,5,9	298	267	1.89996076864e-05	0.00412128633014711	0.183,0.0,0.0	0.729,0.418,0.285	-0.416	Control_vs_shRING1A.B									52891228	52891346	52893778	52893927	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1024	mxe_jcec	7153	ENSG00000182986	ZNF320	chr19	-			52890240	52890328	52897519	52897654	2,0,0	8,10,11	3,4,4	1,5,9	298	267	1.89996076864e-05	0.00439121235830827	0.183,0.0,0.0	0.729,0.418,0.285	-0.416	Control_vs_shRING1A.B									52891228	52891346	52893778	52893927	Mutually Exclusive Exon	JCEC	1	Mutually Exclusive Exon_1	Unique to shRING1A.B vs Control
Event_1025	mxe_jc	7189	ENSG00000104408	EIF3E	chr8	-			108241798	108241913	108248612	108248717	10,8,8	0,0,0	5,11,13	2,4,2	298	294	3.12434169526e-05	0.00586826133834974	1.0,1.0,1.0	0.712,0.731,0.865	0.231	Control_vs_shRING1A.B									108242111	108242256	108243292	108243463	Mutually Exclusive Exon	JC	1	Mutually Exclusive Exon_1	Same Direction
